â„–,Name,Brand & model,Technical parametrs,Quantity,Price,Delivery,Weight,Delivery cost,Link
1,PC,Dell OptiPlex,i5 16 gb ram 1tb ,55,,Un-official,,0,
2,PC,Dell OptiPlex,i5 16 gb ram 512 gb,55,4250,,,0,
3,PC,Dell OptiPlex,i3 (11XXX or 12xxx) ,55,,,,0,
4,multifunctional device,kyocera,a3 & a4,26,,,,0,
5,PC,,Ryzen7/DDR4 32Gb/SSD 512Gb,20,,,,0,
6,Laptop ,"asus, acer, HP,",i5 16 Gb ram 1tb ,24,,,,0,
7,Laptop ,Lenovo IdeaPad Xiaoxin chao 5000 ,i5 16 gb ram 512 gb,24,2500,,,0,
8,,,,,,,,0,
9,,,,,,,,0,
,,,,,,,,,
,,Rub,CNY,,,,,,
,Currancy rate,13,1,,,,,,
,Delivery price,,,,,,,,